NUP;ArquivoEsperado;Extraido
25000.040366/2010-22;25000040366201022.pdf;Nao
25000.003633/2015-95;25000003633201595.pdf;Nao
25000.023314/2017-68;25000023314201768.pdf;Nao
25000.000818/2018-91;25000000818201891.pdf;Sim
25000.069503/2019-49;25000069503201949.pdf;Sim
25000.184734/2020-15;25000184734202015.pdf;Nao
25000.103093/2021-97;25000103093202197.pdf;Sim
25000.143977/2024-27;25000143977202427.pdf;Sim
25000.225078/2025-22;25000225078202522.pdf;Sim
25000.047659/2026-06;25000047659202606.pdf;Sim
25000.033623/2010-70;25000033623201070.pdf;Nao
25000.132946/2012-15;25000132946201215.pdf;Sim
25000.133058/2012-10;25000133058201210.pdf;Nao
25000.021218/2014-32;25000021218201432.pdf;Nao
25000.191050/2015-11;25000191050201511.pdf;Sim
25000.195795/2018-93;25000195795201893.pdf;Sim
25000.063227/2019-13;25000063227201913.pdf;Sim
25000.115374/2019-78;25000115374201978.pdf;Sim
25000.104582/2021-66;25000104582202166.pdf;Sim
25000.120324/2022-16;25000120324202216.pdf;Sim
25000.068436/2024-11;25000068436202411.pdf;Nao
25000.109084/2025-33;25000109084202533.pdf;Sim
25000.139989/2010-51;25000139989201051.pdf;Nao
25000.159290/2012-70;25000159290201270.pdf;Nao
25000.067824/2013-13;25000067824201313.pdf;Nao
25000.071926/2015-03;25000071926201503.pdf;Nao
25000.077890/2018-14;25000077890201814.pdf;Sim
25000.198492/2018-22;25000198492201822.pdf;Sim
25000.114443/2019-26;25000114443201926.pdf;Sim
25000.050165/2021-96;25000050165202196.pdf;Nao
25000.094654/2022-31;25000094654202231.pdf;Sim
25000.075532/2025-98;25000075532202598.pdf;Sim
25000.052753/2010-10;25000052753201010.pdf;Nao
25000.104173/2012-79;25000104173201279.pdf;Nao
25000.237687/2014-71;25000237687201471.pdf;Sim
25000.492295/2017-16;25000492295201716.pdf;Sim
25000.495934/2017-03;25000495934201703.pdf;Sim
25000.069939/2019-38;25000069939201938.pdf;Sim
25000.180226/2020-68;25000180226202068.pdf;Sim
25000.086749/2021-08;25000086749202108.pdf;Sim
25000.189970/2023-71;25000189970202371.pdf;Sim
25000.044167/2010-93;25000044167201093.pdf;Nao
25000.133188/2012-44;25000133188201244.pdf;Sim
25000.001255/2015-13;25000001255201513.pdf;Sim
25000.107288/2015-68;25000107288201568.pdf;Nao
25000.210051/2015-63;25000210051201563.pdf;Sim
25000.027878/2018-51;25000027878201851.pdf;Sim
25000.207152/2018-08;25000207152201808.pdf;Sim
25000.142232/2019-83;25000142232201983.pdf;Sim
25000.132178/2021-82;25000132178202182.pdf;Nao
25000.083394/2022-78;25000083394202278.pdf;Sim
25000.016356/2025-52;25000016356202552.pdf;Sim
25000.045197/2026-84;25000045197202684.pdf;Sim
25000.052414/2011-14;25000052414201114.pdf;Nao
25000.076200/2014-78;25000076200201478.pdf;Nao
25000.072936/2016-39;25000072936201639.pdf;Nao
25000.006283/2018-61;25000006283201861.pdf;Sim
25000.051868/2019-17;25000051868201917.pdf;Sim
25000.047366/2020-25;25000047366202025.pdf;Sim
25000.162856/2021-31;25000162856202131.pdf;Sim
25000.044693/2023-78;25000044693202378.pdf;Sim
25000.158849/2024-88;25000158849202488.pdf;Sim
25000.024470/2010-70;25000024470201070.pdf;Nao
25000.186593/2012-65;25000186593201265.pdf;Nao
25000.106876/2015-84;25000106876201584.pdf;Nao
25000.055886/2016-25;25000055886201625.pdf;Sim
25000.026239/2018-78;25000026239201878.pdf;Sim
25000.212324/2018-57;25000212324201857.pdf;Sim
25000.117821/2019-23;25000117821201923.pdf;Sim
25000.134923/2021-28;25000134923202128.pdf;Sim
25000.087888/2022-21;25000087888202221.pdf;Sim
25000.172192/2024-61;25000172192202461.pdf;Sim
25000.100521/2025-53;25000100521202553.pdf;Sim
25000.033138/2020-78;25000033138202078.pdf;Sim
25000.078274/2021-78;25000078274202178.pdf;Nao
25000.148121/2025-29;25000148121202529.pdf;Nao
25000.043212/2026-50;25000043212202650.pdf;Sim
25000.226155/2025-61;25000226155202561.pdf;Nao
25000.101901/2026-96;25000101901202696.pdf;Sim
25000.666491/2009-23;25000666491200923.pdf;Nao
25000.109634/2012-08;25000109634201208.pdf;Nao
25000.190215/2014-48;25000190215201448.pdf;Nao
25000.006942/2016-06;25000006942201606.pdf;Nao
25000.456421/2017-79;25000456421201779.pdf;Sim
25000.032378/2018-31;25000032378201831.pdf;Nao
25000.120012/2020-32;25000120012202032.pdf;Sim
25000.067870/2021-22;25000067870202122.pdf;Sim
25000.116718/2023-42;25000116718202342.pdf;Sim
25000.136192/2024-06;25000136192202406.pdf;Sim
25000.197124/2024-13;25000197124202413.pdf;Nao
25000.033219/2010-04;25000033219201004.pdf;Nao
25000.131535/2012-02;25000131535201202.pdf;Nao
25000.098452/2015-39;25000098452201539.pdf;Nao
25000.068547/2016-17;25000068547201617.pdf;Sim
25000.016340/2018-11;25000016340201811.pdf;Nao
25000.098963/2018-01;25000098963201801.pdf;Sim
25000.129857/2019-50;25000129857201950.pdf;Sim
25000.150692/2021-08;25000150692202108.pdf;Sim
25000.082368/2022-22;25000082368202222.pdf;Sim
25000.132590/2024-45;25000132590202445.pdf;Nao
25000.101039/2025-31;25000101039202531.pdf;Sim
25000.052936/2010-27;25000052936201027.pdf;Nao
25000.109581/2012-17;25000109581201217.pdf;Nao
25000.063596/2013-11;25000063596201311.pdf;Nao
25000.233495/2014-96;25000233495201496.pdf;Nao
25000.483184/2017-19;25000483184201719.pdf;Sim
25000.024525/2018-07;25000024525201807.pdf;Sim
25000.199889/2018-31;25000199889201831.pdf;Sim
25000.153175/2020-00;25000153175202000.pdf;Nao
25000.095231/2021-57;25000095231202157.pdf;Sim
25000.177916/2023-82;25000177916202382.pdf;Sim
25000.143101/2024-81;25000143101202481.pdf;Sim
25000.196350/2024-79;25000196350202479.pdf;Sim
25000.669871/2009-10;25000669871200910.pdf;Nao
25000.124278/2012-44;25000124278201244.pdf;Nao
25000.136124/2016-29;25000136124201629.pdf;Nao
25000.042157/2017-90;25000042157201790.pdf;Sim
25000.156055/2018-31;25000156055201831.pdf;Sim
25000.128715/2020-17;25000128715202017.pdf;Nao
23123.007733/2017-31;23123007733201731.pdf;Sim
25000.183778/2023-71;25000183778202371.pdf;Sim
25000.016558/2025-02;25000016558202502.pdf;Sim
25000.159831/2010-06;25000159831201006.pdf;Nao
25000.039635/2013-51;25000039635201351.pdf;Nao
25000.203935/2014-81;25000203935201481.pdf;Nao
