NUP;ArquivoEsperado;Extraido
25000.040366/2010-22;25000040366201022.pdf;Nao
25000.003633/2015-95;25000003633201595.pdf;Nao
25000.023314/2017-68;25000023314201768.pdf;Nao
25000.184734/2020-15;25000184734202015.pdf;Nao
25000.033623/2010-70;25000033623201070.pdf;Nao
25000.133058/2012-10;25000133058201210.pdf;Nao
25000.021218/2014-32;25000021218201432.pdf;Nao
25000.068436/2024-11;25000068436202411.pdf;Nao
25000.139989/2010-51;25000139989201051.pdf;Nao
25000.159290/2012-70;25000159290201270.pdf;Nao
25000.067824/2013-13;25000067824201313.pdf;Nao
25000.071926/2015-03;25000071926201503.pdf;Nao
25000.050165/2021-96;25000050165202196.pdf;Nao
25000.052753/2010-10;25000052753201010.pdf;Nao
25000.104173/2012-79;25000104173201279.pdf;Nao
25000.044167/2010-93;25000044167201093.pdf;Nao
25000.107288/2015-68;25000107288201568.pdf;Nao
25000.132178/2021-82;25000132178202182.pdf;Nao
25000.052414/2011-14;25000052414201114.pdf;Nao
25000.076200/2014-78;25000076200201478.pdf;Nao
25000.072936/2016-39;25000072936201639.pdf;Nao
25000.024470/2010-70;25000024470201070.pdf;Nao
25000.186593/2012-65;25000186593201265.pdf;Nao
25000.106876/2015-84;25000106876201584.pdf;Nao
25000.078274/2021-78;25000078274202178.pdf;Nao
25000.148121/2025-29;25000148121202529.pdf;Nao
25000.226155/2025-61;25000226155202561.pdf;Nao
25000.666491/2009-23;25000666491200923.pdf;Nao
25000.109634/2012-08;25000109634201208.pdf;Nao
25000.190215/2014-48;25000190215201448.pdf;Nao
25000.006942/2016-06;25000006942201606.pdf;Nao
25000.032378/2018-31;25000032378201831.pdf;Nao
25000.197124/2024-13;25000197124202413.pdf;Nao
25000.033219/2010-04;25000033219201004.pdf;Nao
25000.131535/2012-02;25000131535201202.pdf;Nao
25000.098452/2015-39;25000098452201539.pdf;Nao
25000.016340/2018-11;25000016340201811.pdf;Nao
25000.132590/2024-45;25000132590202445.pdf;Nao
25000.052936/2010-27;25000052936201027.pdf;Nao
25000.109581/2012-17;25000109581201217.pdf;Nao
25000.063596/2013-11;25000063596201311.pdf;Nao
25000.233495/2014-96;25000233495201496.pdf;Nao
25000.153175/2020-00;25000153175202000.pdf;Nao
25000.669871/2009-10;25000669871200910.pdf;Nao
25000.124278/2012-44;25000124278201244.pdf;Nao
25000.136124/2016-29;25000136124201629.pdf;Nao
25000.128715/2020-17;25000128715202017.pdf;Nao
25000.159831/2010-06;25000159831201006.pdf;Nao
25000.039635/2013-51;25000039635201351.pdf;Nao
25000.203935/2014-81;25000203935201481.pdf;Nao
25000.159893/2020-81;25000159893202081.pdf;Nao
25000.048211/2020-14;25000048211202014.pdf;Nao
25000.081620/2010-42;25000081620201042.pdf;Nao
25000.213079/2012-18;25000213079201218.pdf;Nao
25000.223565/2012-36;25000223565201236.pdf;Nao
25000.119926/2021-31;25000119926202131.pdf;Nao
25000.073396/2024-11;25000073396202411.pdf;Nao
25000.656287/2009-02;25000656287200902.pdf;Nao
25000.087473/2012-86;25000087473201286.pdf;Nao
25000.209577/2014-10;25000209577201410.pdf;Nao
25000.239510/2014-18;25000239510201418.pdf;Nao
25000.071851/2016-33;25000071851201633.pdf;Nao
25000.073958/2017-05;25000073958201705.pdf;Nao
25000.123003/2024-27;25000123003202427.pdf;Nao
25000.184388/2010-01;25000184388201001.pdf;Nao
25000.193418/2013-13;25000193418201313.pdf;Nao
25000.200887/2015-50;25000200887201550.pdf;Nao
25000.005911/2018-91;25000005911201891.pdf;Nao
25000.174689/2021-71;25000174689202171.pdf;Nao
25000.065241/2024-19;25000065241202419.pdf;Nao
25000.024632/2010-70;25000024632201070.pdf;Nao
25000.098903/2012-95;25000098903201295.pdf;Nao
25000.046466/2013-13;25000046466201313.pdf;Nao
25000.208678/2015-54;25000208678201554.pdf;Nao
25000.128403/2024-29;25000128403202429.pdf;Nao
25000.043094/2017-99;25000043094201799.pdf;Nao
25000.662282/2009-19;25000662282200919.pdf;Nao
25000.110221/2012-68;25000110221201268.pdf;Nao
25000.228094/2012-52;25000228094201252.pdf;Nao
25000.043819/2011-53;25000043819201153.pdf;Nao
25000.227224/2018-25;25000227224201825.pdf;Nao
25000.187204/2019-95;25000187204201995.pdf;Nao
25000.140213/2010-84;25000140213201084.pdf;Nao
25000.215245/2012-11;25000215245201211.pdf;Nao
25000.028875/2013-20;25000028875201320.pdf;Nao
25000.209734/2014-97;25000209734201497.pdf;Nao
25000.159461/2023-13;25000159461202313.pdf;Nao
25000.105984/2026-92;25000105984202692.pdf;Nao
25000.052803/2010-51;25000052803201051.pdf;Nao
25000.134401/2012-35;25000134401201235.pdf;Nao
25000.175339/2013-12;25000175339201312.pdf;Nao
25000.213734/2014-91;25000213734201491.pdf;Nao
25000.161316/2020-50;25000161316202050.pdf;Nao
25000.033165/2010-79;25000033165201079.pdf;Nao
25000.131114/2012-73;25000131114201273.pdf;Nao
25000.208990/2015-48;25000208990201548.pdf;Nao
25000.133738/2023-88;25000133738202388.pdf;Nao
25000.128396/2010-60;25000128396201060.pdf;Nao
25000.133420/2012-44;25000133420201244.pdf;Nao
25000.490265/2017-75;25000490265201775.pdf;Nao
25000.214416/2010-14;25000214416201014.pdf;Nao
25000.034997/2013-55;25000034997201355.pdf;Nao
25000.000252/2015-54;25000000252201554.pdf;Nao
25000.132111/2020-67;25000132111202067.pdf;Nao
25000.025868/2010-23;25000025868201023.pdf;Nao
25000.183616/2014-41;25000183616201441.pdf;Nao
25000.100472/2024-78;25000100472202478.pdf;Nao
25000.073784/2025-82;25000073784202582.pdf;Nao
25000.052926/2010-91;25000052926201091.pdf;Nao
25000.196530/2012-17;25000196530201217.pdf;Nao
25000.175289/2013-73;25000175289201373.pdf;Nao
25000.209932/2014-51;25000209932201451.pdf;Nao
25000.064328/2024-61;25000064328202461.pdf;Nao
25000.029001/2011-28;25000029001201128.pdf;Nao
25000.201134/2013-08;25000201134201308.pdf;Nao
25000.008949/2018-16;25000008949201816.pdf;Nao
25000.210343/2018-49;25000210343201849.pdf;Nao
25000.128852/2021-24;25000128852202124.pdf;Nao
25000.091349/2010-53;25000091349201053.pdf;Nao
25000.144329/2012-54;25000144329201254.pdf;Nao
25000.045276/2013-71;25000045276201371.pdf;Nao
25000.152329/2015-71;25000152329201571.pdf;Nao
25000.039129/2021-71;25000039129202171.pdf;Nao
25000.201256/2010-43;25000201256201043.pdf;Nao
25000.085119/2013-06;25000085119201306.pdf;Nao
