NUPs;DT_PROTOCOLO;DT_PROTOCOLO_ORIGEM;DT_CORREIO_MAOS_EMAIL;NU_CNPJ;ASSUNTO;A_LEI
25000.040366/2010-22;16/03/2010;;;20.079.166/0001-52;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.003633/2015-95;12/01/2015;;31/12/2014;20.079.166/0001-52;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.023314/2017-68;15/02/2017;;;20.079.166/0001-52;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.000818/2018-91;03/01/2018;;;20.079.166/0001-52;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.069503/2019-49;23/04/2019;;;20.079.166/0001-52;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.184734/2020-15;31/12/2020;;;20.079.166/0001-52;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.103093/2021-97;07/07/2021;;;20.079.166/0001-52;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.143977/2024-27;25/09/2024;;;20.079.166/0001-52;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.225078/2025-22;26/12/2025;;;20.079.166/0001-52;REQUERIMENTO>>RENOVAÇÃO;LEI COMPLEMENTAR 187
25000.047659/2026-06;31/03/2026;;;20.079.166/0001-52;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.033623/2010-70;05/03/2010;10/06/2009;;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;DECRETO 2536
25000.132946/2012-15;27/06/2012;;;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.133058/2012-10;28/06/2012;;;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.021218/2014-32;10/02/2014;;;29.640.612/0001-20;PROCESSO>>SUPERVISÃO;DECRETO 2536
25000.191050/2015-11;23/11/2015;;17/11/2015;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.195795/2018-93;09/11/2018;;;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.063227/2019-13;11/04/2019;;;29.640.612/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.115374/2019-78;10/07/2019;;;29.640.612/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.104582/2021-66;09/07/2021;;;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.120324/2022-16;25/08/2022;;;29.640.612/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.068436/2024-11;10/05/2024;;;29.640.612/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI COMPLEMENTAR 187
25000.109084/2025-33;30/06/2025;;;29.640.612/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.139989/2010-51;16/08/2010;;;01.323.146/0001-30;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.159290/2012-70;11/09/2012;;;01.323.146/0001-30;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.067824/2013-13;22/04/2013;;;01.323.146/0001-30;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.071926/2015-03;12/05/2015;;06/05/2015;01.323.146/0001-30;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.077890/2018-14;04/05/2018;;;01.323.146/0001-30;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.198492/2018-22;14/11/2018;;;01.323.146/0001-30;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.114443/2019-26;09/07/2019;;;01.323.146/0001-30;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.050165/2021-96;05/04/2021;;;01.323.146/0001-30;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.094654/2022-31;05/07/2022;;;01.323.146/0001-30;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.075532/2025-98;16/05/2025;;;01.323.146/0001-30;REQUERIMENTO>>RENOVAÇÃO;LEI COMPLEMENTAR 187
25000.052753/2010-10;05/04/2010;17/12/2009;;48.547.806/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.104173/2012-79;14/06/2012;;;48.547.806/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.237687/2014-71;23/12/2014;;22/12/2014;48.547.806/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.492295/2017-16;20/12/2017;;;48.547.806/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.495934/2017-03;28/12/2017;;;48.547.806/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.069939/2019-38;24/04/2019;;;48.547.806/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.180226/2020-68;21/12/2020;;;48.547.806/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.086749/2021-08;09/06/2021;;;48.547.806/0001-20;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.189970/2023-71;19/12/2023;;;48.547.806/0001-20;REQUERIMENTO>>RENOVAÇÃO;LEI COMPLEMENTAR 187
25000.044167/2010-93;22/03/2010;29/09/2009;;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;DECRETO 2536
25000.133188/2012-44;26/06/2012;;;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.001255/2015-13;06/01/2015;;29/12/2014;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.107288/2015-68;07/07/2015;;29/06/2015;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.210051/2015-63;24/12/2015;;;01.368.232/0001-60;PROCESSO>>SUPERVISÃO;DECRETO 2536
25000.027878/2018-51;16/02/2018;;;01.368.232/0001-60;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.207152/2018-08;30/11/2018;;;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.142232/2019-83;26/08/2019;;;01.368.232/0001-60;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.132178/2021-82;02/09/2021;;;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;LEI 12.101
25000.083394/2022-78;14/06/2022;;;01.368.232/0001-60;PROCESSO>>SUPERVISÃO;LEI 12.101
25000.016356/2025-52;04/02/2025;;;01.368.232/0001-60;REQUERIMENTO>>RENOVAÇÃO;LEI COMPLEMENTAR 187
